,dataset,model,layers,mean_accuracy,mean_weights
87,AESDD,WAV2VEC2_ASR_LARGE_960H,24,65.70048034191132,"[0.02594662 0.03118717 0.03238728 0.03606256 0.04752463 0.04986712
 0.05568016 0.05568971 0.0539703  0.05395392 0.05398751 0.05029326
 0.04381379 0.04013024 0.04214449 0.04784395 0.04518405 0.03130299
 0.03173368 0.02955638 0.02821728 0.02806166 0.02811543 0.02846059
 0.02888519]"
88,AESDD,WAV2VEC2_BASE,0,31.15942031145096,[array([1.])]
89,AESDD,WAV2VEC2_BASE,1,37.922705709934235,[0.57733572 0.42266428]
90,AESDD,WAV2VEC2_BASE,2,37.43961304426193,[0.37652348 0.30311631 0.32036023]
91,AESDD,WAV2VEC2_BASE,3,52.415457367897034,[0.27293333 0.21024949 0.23817355 0.27864361]
92,AESDD,WAV2VEC2_BASE,4,53.8647323846817,[0.2042931  0.15597037 0.17373388 0.22302442 0.24297825]
93,AESDD,WAV2VEC2_BASE,5,57.00483024120331,[0.16544295 0.12277596 0.13329576 0.17082701 0.20449019 0.20316815]
94,AESDD,WAV2VEC2_BASE,6,66.42512083053589,"[0.13624939 0.1011702  0.10787427 0.13386112 0.16708937 0.17457342
 0.17918222]"
95,AESDD,WAV2VEC2_BASE,7,65.21739065647125,"[0.11781454 0.08871477 0.09295177 0.10947378 0.14056816 0.15104935
 0.16309792 0.13632968]"
96,AESDD,WAV2VEC2_BASE,8,62.56038844585419,"[0.10490987 0.07849598 0.08107992 0.09093716 0.12060015 0.13099702
 0.14453777 0.12613124 0.12231092]"
97,AESDD,WAV2VEC2_BASE,9,61.11111044883728,"[0.09508039 0.07031619 0.07367217 0.08140504 0.10706053 0.12149366
 0.13112067 0.11690448 0.11422016 0.08872671]"
98,AESDD,WAV2VEC2_BASE,10,59.903380274772644,"[0.08676861 0.06491749 0.06879612 0.07766562 0.10047945 0.11021231
 0.11985388 0.1078869  0.10615342 0.08944615 0.06782001]"
99,AESDD,WAV2VEC2_BASE,11,57.24637806415558,"[0.08067314 0.05922143 0.06348439 0.07253574 0.09697516 0.10616166
 0.11156237 0.10267738 0.10082788 0.08914439 0.06097194 0.0557645 ]"
100,AESDD,WAV2VEC2_BASE,12,60.386475920677185,"[0.07352651 0.05483735 0.05885079 0.0682392  0.08873332 0.10032343
 0.1034619  0.09635426 0.09424709 0.08415211 0.05875668 0.05146988
 0.06704748]"
101,AESDD,WAV2VEC2_LARGE,0,35.990338027477264,[array([1.])]
102,AESDD,WAV2VEC2_LARGE,1,52.41546034812927,[0.39461035 0.60538962]
103,AESDD,WAV2VEC2_LARGE,2,54.34782803058624,[0.24265972 0.32298869 0.43435162]
104,AESDD,WAV2VEC2_LARGE,3,56.76328241825104,[0.16952647 0.2083545  0.30307001 0.31904897]
105,AESDD,WAV2VEC2_LARGE,4,60.386472940444946,[0.13453998 0.153643   0.22031615 0.25278492 0.23871595]
106,AESDD,WAV2VEC2_LARGE,5,64.97584283351898,[0.11174393 0.12096516 0.15093997 0.19738388 0.20520658 0.2137605 ]
107,AESDD,WAV2VEC2_LARGE,6,68.59903335571289,"[0.09789157 0.10328562 0.1073904  0.14239337 0.17274747 0.1858784
 0.1904132 ]"
108,AESDD,WAV2VEC2_LARGE,7,67.14975833892822,"[0.08676101 0.08904846 0.08883915 0.108312   0.14432746 0.16209182
 0.16587514 0.15474495]"
109,AESDD,WAV2VEC2_LARGE,8,69.80676352977753,"[0.07498917 0.07797481 0.07580138 0.08321698 0.12118494 0.14314862
 0.14497103 0.14576025 0.13295278]"
