,dataset,model,mean_accuracy,std_accuracy
30,RAVDESS,HUBERT_BASE,"[49.73333299 54.66666698 56.93333387 55.60000062 62.13333368 62.86666751
 64.33333397 64.26666617 61.46666765 61.53333187 58.26666474 56.39999986
 56.53333306]","[1.87853289 1.67332036 1.74355978 1.4204837  1.27540721 2.05047387
 1.96638451 1.23648296 1.04562481 2.02868405 0.44221622 1.01980293
 1.91601255]"
31,RAVDESS,HUBERT_LARGE,"[47.93333352 54.9333334  56.99999928 63.00000072 63.86666656 59.53333378
 61.86666608 62.33333349 64.06666517 65.1333344  67.06666589 69.46666598
 70.26666641 69.19999957 67.5333333  66.33333325 66.20000124 65.33333302
 66.26666665 66.33333325 65.         63.39999914 60.33333421 60.19999981
 56.93333387]","[4.63992389 2.5068789  2.73252109 2.13957402 2.78567648 3.35724698
 1.66799969 1.09544407 0.87939289 3.12409954 2.29395406 2.82528336
 1.46666695 1.96185666 1.89267552 2.53859128 2.33428527 1.56347322
 2.18479634 2.44040081 3.2317857  2.97694924 4.84424029 1.54344607
 3.77947736]"
32,RAVDESS,WAV2VEC2_BASE,"[50.53333342 55.0666666  54.53333259 61.00000024 62.33333349 60.80000162
 60.33333302 60.66666842 61.20000124 57.46666551 57.79999852 52.13333249
 52.6000011 ]","[2.26666699 1.80616215 2.12498429 1.8856186  0.84327324 0.77745951
 1.39841274 0.55777282 1.16618927 1.06666565 1.12743456 2.23706131
 1.38884587]"
33,RAVDESS,WAV2VEC2_LARGE,"[49.59999979 56.93333387 56.93333387 59.53333378 61.39999986 63.26666594
 65.53333282 65.80000043 66.60000086 68.79999995 68.46666694 71.66666508
 69.7333324  67.6666677  68.66666794 66.26666784 62.4000001  66.40000105
 64.7333324  62.06666708 57.46666551 56.93333268 49.46666598 33.20000052
 28.20000052]","[2.39814604 2.32283288 2.37018463 1.25786554 1.23648328 1.3564647
 0.71802395 1.61383025 1.51143822 1.08729939 1.85711667 0.76011832
 1.4204837  0.73029605 2.08699688 1.4204856  1.32329429 1.45143666
 0.85375085 1.33998214 0.4521549  0.77172172 1.20369815 1.39204034
 2.2370616 ]"
34,RAVDESS,WAV2VEC2_LARGE_XLSR,"[46.66666687 55.59999943 57.3999989  60.59999943 62.99999952 65.53333521
 67.4666667  70.19999981 67.33333349 71.13333344 69.86666679 67.13333368
 67.73333311 66.66666627 68.79999876 68.13333392 70.33333302 69.06666636
 67.40000129 69.59999919 66.59999967 64.66666698 13.33333403 13.33333403
 13.33333403]","[2.50333055 2.54209002 1.4204837  1.7688677  1.72562224 2.71293169
 2.51749359 2.13541555 2.65831983 1.98438443 3.01551446 1.73333292
 2.37954237 2.78886695 2.49977751 1.68126776 1.24721953 1.45143469
 1.76886487 1.4817393  2.112398   1.38243069 0.         0.
 0.        ]"
35,RAVDESS,WAV2VEC2_LARGE_XLSR300M,"[43.13333333 51.86666727 55.26666641 60.26666641 62.26666808 66.53333426
 64.46666718 68.99999976 69.60000038 72.3333323  69.60000157 68.06666493
 67.4666667  68.93333316 67.5999999  69.33333278 70.99999905 71.13333344
 71.73333287 69.86666679 60.73333263 59.40000057 50.2666676  34.80000019
 36.06666684]","[3.46153471 2.8643403  1.48174113 3.47307005 3.33599983 1.45449482
 2.15612859 1.41421221 2.18479517 2.6415481  2.61108778 3.12267679
 1.77137711 1.16237194 2.99184226 1.92064621 1.89736646 1.93907218
 2.33238119 1.49963011 2.41660909 2.4349315  3.36914206 7.26207802
 4.73004526]"
36,ShEMO,HUBERT_BASE,"[76.61290169 83.65591407 87.09677458 89.94623423 90.43010592 89.62365389
 89.46236372 89.56989169 88.49462271 88.11827898 88.65591288 89.08601999
 87.79569864]","[1.9234975  0.95269191 0.56387519 0.43677584 0.55353006 0.98549921
 0.39507861 0.92185177 0.31349174 1.12003477 1.09392315 0.40232837
 0.55352797]"
37,ShEMO,HUBERT_LARGE,"[79.73118305 82.04301    87.74193525 88.92472982 87.58064508 89.40860033
 88.38709593 87.63440847 90.69892406 89.19354796 90.86021662 90.9677434
 91.29032254 90.64516068 89.46236491 88.81720304 88.33333254 87.25806475
 88.87096763 87.58064508 88.97849321 88.65591288 87.84946203 88.87096763
 85.9677434 ]","[1.23304864 1.36436188 1.16059207 0.57403592 1.29925102 0.49858116
 1.19495105 1.32785777 0.27414314 1.60751819 0.85007609 0.62698573
 1.27907391 1.2880819  1.49574503 0.27414057 0.60349255 1.57298117
 1.65360828 1.39577877 1.37070286 0.46249016 1.09392315 1.73048185
 0.39507861]"
38,ShEMO,WAV2VEC2_BASE,"[75.64516068 83.27956796 87.09677458 89.13978338 88.65591288 89.83870983
 89.08601999 89.73118305 86.9892478  86.12903357 86.88172102 85.48387289
 83.4946239 ]","[1.44862158 0.39507861 0.48087438 0.62698348 0.43010712 1.10705873
 0.97072327 1.10705838 1.42852877 0.97072327 0.57403592 0.29447421
 0.90922417]"
39,ShEMO,WAV2VEC2_LARGE,"[76.8145144  82.5268805  85.75268835 87.97042966 88.30645084 89.44892287
 90.32258093 89.24731016 89.91935253 89.04569745 87.43279576 88.0376339
 88.91128898 88.64247203 88.64247203 86.82795763 87.63440847 86.9623661
 87.29838729 87.36559153 87.83602118 87.09677458 85.88709831 76.41128898
 73.05107564]","[0.64108756 0.32923218 1.12454447 0.72068515 0.90163945 0.11640115
 0.73618825 0.63043162 0.72381178 0.97619793 1.77678649 1.11648064
 0.74533104 0.39758563 0.61225974 1.05833338 0.87106647 0.48461664
 0.22289124 1.15622541 1.29444502 0.60109297 0.72381178 0.81480807
 0.79232867]"
40,ShEMO,WAV2VEC2_LARGE_XLSR,"[81.18279576 87.41935492 87.36559153 88.87096643 90.16128898 90.69892526
 92.15053916 91.61290288 90.86021543 91.77419543 91.34408593 91.23655915
 90.69892526 90.5376339  91.50537729 90.16128898 90.37634373 90.64516068
 91.29032373 91.07527018 90.59139729 89.89247203 44.62365568 43.54838669
 43.0107522 ]","[1.39163083 0.78649059 0.65846436 0.87685435 0.94047678 0.62698593
 0.4927496  1.12003752 0.79744235 0.40232837 1.23070274 0.8768572
 0.77165263 0.49275247 0.46870069 0.46870014 0.6223586  0.57403849
 0.52677307 0.4301092  1.11486396 0.64962728 0.53763509 4.70852291
 3.09781884]"
41,ShEMO,WAV2VEC2_LARGE_XLSR300M,"[78.60215187 87.74193525 87.84946203 89.13978338 89.35483694 90.16128778
 89.0322578  91.02150798 91.61290526 91.55914068 91.07527137 91.4516139
 91.4516139  91.88172221 91.39785171 91.29032254 91.82795882 91.55914068
 91.72043204 91.72043085 91.23656154 90.48387051 86.4516139  82.25806475
 77.84946203]","[ 1.06988016  1.18523584  0.59868377  0.55352797  0.55352797  0.60349255
  1.19495288  0.13169287  0.31349174  0.62698532  0.26338574  0.7864923
  0.85684975  0.54828115  0.34002953  0.97072532  0.27414057  0.7901595
  0.57403592  0.85684938  0.40232837  0.57905208  1.33437224  1.20218807
 11.79565378]"
